CI,0,1,2,3,4,5
Travailler à mon compte,1.1447449488935277,1.286709591470807,-1.495198013576389,0.8353490863146149,-0.9045892404972834,0.25293687943117144
Travailler seul,0.6782595369154815,0.5003797375904354,-1.2808855728964097,-1.0813082268715677,-0.6728068842100577,-0.40931992386816646
"Piloter les coûts, la rentabilité",-0.18958228634592542,3.315056996758213,0.17353744971396748,0.6531363870019852,-0.34161947217206906,-0.49684097676110894
Piloter un budget,-1.056863863251588,2.733720482675382,-0.47570459866630704,0.429025166731506,0.8380931625349157,-0.18320256479418245
Gérer un service de grande entreprise,-0.634671347754006,2.2796232347175662,0.6940175330109979,1.5837273904253957,0.1709257970190724,-0.4949300748862286
Gérer une salle de sport,-0.8462760284701221,0.5338542412217298,0.46930395006570286,2.0439372855278006,0.5985824136186075,-0.7569902698128346
Gérer un hôtel,-0.6816665876196555,0.6351138062686659,0.28598211736946844,2.436878145422432,0.42142791150703246,0.6682374990108613
Gérer un salon de coiffure,-0.8040586322127454,0.4495368739466853,0.0330984799029353,1.588137544873182,0.5753234689582766,-0.14519817301002658
Créer un projet entrepreneurial,1.3449754127329332,-0.0053041395563262345,-1.6204395246705605,1.756218381040151,-0.36271542099434023,-0.03815742826737486
Prendre des risques,2.343797794921496,-1.374428283779998,-0.09122620017478597,0.5068246308509822,0.3216092598551451,-0.19555967234427868
Vendre ou louer des maisons,-0.3691331367150812,1.1403299922019299,-1.180401890305725,1.143030588565097,-0.0013918554375098415,0.2914915843558446
"Gérer des actifs, un patrimoine",-0.08245756497290302,2.971847412523302,0.10205279382861569,0.3521951676670009,-0.23806491983997252,-0.9233932585170241
Piloter des indicateurs statistiques,1.3182445207211901,1.4911095375537033,0.3160929185263825,-1.1242227445152493,-0.024846000980063624,0.0992560065064553
"Etre leader, inspirer et motiver",1.5254646296945569,-0.5994226498868186,1.5101351220565786,0.48250744992664507,-0.6949191767894657,-0.6438766359436776
"Organiser une équipe, des tâches",-0.5527496713640317,0.36886528181012745,0.1840778864324019,1.0552799361653245,0.16877709480755929,0.23248796003016794
"Coacher, faire progresser les autres",1.6135771993166184,-1.2651424853290634,0.9580613325292225,-0.7874846618810525,-0.6022247020662592,0.8273907909483009
Atteindre des objectifs ambitieux,0.9417798019480228,0.7335529011610108,0.07016737901003434,1.7841602110190113,-0.49975729865448526,-0.44164243574361856
Accompagner le changement,1.4443805859951013,-1.0638877204304267,1.8025754427937488,0.08211642764479106,-0.5109282078526086,-0.6094377781715491
Réaliser une veille de marché,1.7858083504183404,1.8038450598728315,-1.1381251363098117,0.4195852221694725,-0.17691838863715073,1.8931609810934569
Concevoir une offre de produits / services,2.178705458099227,1.0813875295025621,0.32776058226762433,-0.23331821889951174,-0.6548563535855648,0.10857104229212784
Travailler dans l’administration publique,-1.1010689230661164,0.08504260496764758,1.5832812148251392,-0.7954023654353988,-0.6452978589897226,-0.03311151237811164
Donner des discours,2.0318902071866707,-0.2999055033044358,-0.7618664020676018,-0.4874981726071952,-0.7567523694591244,0.4680827233422117
Développer un territoire économique,-0.00012906686736742775,0.09774454454210978,0.562978121308135,0.31701914645593515,0.11884123967399055,0.7478416618452876
"Gérer et entretenir un site, une infrastructure",-1.4629326147014108,0.5867875824853738,0.5596381704498076,1.8393712845355434,-0.12893433579742997,-0.2031584410195554
"Se déplacer souvent, voyager",-0.5951991556427008,-0.7766287006431981,-1.6638466195536505,0.00888231510353611,-0.18096799807690814,-0.327014522374118
"Convaincre, influencer",1.6341879598193465,-0.6612822192246073,0.6671659434407656,0.18657433319306777,-0.34066265802052736,-1.0728152738780004
"Concevoir des contenus, des supports de communication",2.793066805324577,0.7000831362647633,-1.2050513275329067,0.04544540113613849,0.6558132599658112,-0.08261929243354504
Gérer le marketing et piloter l'image de marque,2.640905769208118,1.1368123633258451,-1.1000860513421138,0.8990877390394757,0.43016200995971265,0.07031295003493943
"Vendre, commercialiser",0.4608585461826124,0.5843238146595233,-2.049630721747997,1.7761025160919337,-0.47762923950512876,0.7898248085737293
Servir un client,-0.08865925646673908,-0.31265419854161297,-0.9510088601642377,-0.4672401401336579,0.4097514936349934,0.778123824357424
Elaborer une stratégie commerciale,2.961756747479561,1.6574575601338708,-0.5805708013088271,0.6215344217433852,-0.7638574052459778,0.10827800002056455
Elaborer une offre commerciale / Répondre à un appel d'offre,1.8489877716831928,2.5540713542114424,0.2583248875694334,0.7518953782557507,-1.1515319423458301,0.971209222080896
Gérer la relation client,0.6318925764967444,0.27790915205616396,-1.2225640036583934,0.21178567726046918,0.21070774815132381,0.12935681232099003
"Améliorer la qualité de service, fidéliser les clients",1.599788104697948,0.7724855152095557,-0.182894003064735,-0.04289506890752082,-0.35347889029064394,0.09456381740536096
Animer la communication interne,0.9764225672896494,0.0050190510003914855,0.531722590317266,0.16672857360995094,1.2601468186974505,-0.47911323397390215
"Accueillir, orienter, renseigner",-0.7911947305029241,-1.2220073603591461,1.0763150745566212,-1.2983019817480839,0.3365787462907629,0.8956511173998248
S'occuper de la carrière de quelqu'un,-0.25029778722656965,-1.3948556941049701,0.6239989921769726,-0.7711602367953337,0.7843879678244466,0.10773910102639025
Ecouter et dialoguer avec ses collaborateurs,0.8114005313691631,-0.79616463903222,1.0100791639473738,0.7482437487207572,0.18942477327934804,-0.49392107914545763
Maintenir l’engagement et la satisfaction des collaborateurs,0.8869709342799104,-0.11752654771987023,1.9482838624329983,0.811820425749342,0.931547320957132,0.03066146175534375
Travailler en réseau,0.09230780294722143,-1.1129128013132674,1.7582309542346493,1.5627903892235195,0.758783640648542,0.048896270357634095
Découvrir d'autres cultures,1.182742266360906,-0.13483128530743352,1.022149676285116,0.06431109565029104,-0.9642496772914255,-0.29508990286200487
Travailler en collectif,0.5996237585484567,-1.112124348667495,2.5197982777073293,1.6335968118717321,0.1683521080063712,0.003026745419233399
Travailler dans le secteur social,-1.312451339521535,-2.099780393220232,1.7482003928669443,-0.33070598726167744,0.26378491314564667,1.0544539298657496
Travailler dans un bureau,1.195623248592404,0.7255439712117768,1.1244818101344634,-0.15937955984178154,0.8126736163405218,-0.02332024024085362
Assurer une gestion documentaire,-1.0964278586229281,2.1495047024150242,-0.2758888849595601,-1.213054394687558,0.6217266315382987,0.03326354744921923
Faire des inventaires et tenir des registres,-1.923738967259131,1.0685706742297296,-0.7937409257153534,-0.6062481382106275,0.04878765879959969,-0.104047028475467
Commander et gérer le matériel de bureaux,-0.9692045747456446,0.637616629099802,0.7303108616317834,0.23182079717640713,0.8640334659679548,0.1727027307776227
Gérer la logistique,-2.116104133404932,0.29780691912701823,0.24652202769871429,0.3621897651057931,0.08289945008241029,-0.015306159798660787
Tenir le registre des transactions financières d'une entreprise,-1.6918256028593246,2.1448534227345832,-0.2764715435796067,-1.1097264919450363,0.7034391219547446,-0.17315483373600407
Assurer la gestion administrative,-1.3698877205508242,2.0789882538942814,-0.0629949491151216,-0.9814724772697385,1.0881006457684745,-0.13136508685290713
Calculer le salaire des employés,-1.5926538822629175,2.457894861736954,0.04582374428400763,-1.234090159508037,0.6002339548801772,-0.104445583244131
Transférer des fonds entre banques,-1.561778405210127,1.0673761297611544,1.5440749742265754,-0.02651622217033419,-0.9772025833788821,-0.3034401698879153
Elaborer et faire respecter des consignes,-1.657927649146854,0.8534654086456559,1.8005957005149236,0.45275622083323236,0.463122837859237,-0.41303960812467644
Respecter les règles,-2.305926620176038,0.833319996813338,0.993020952075466,0.2633607840451685,-0.0028562929089286904,-0.17762300385760074
Collecter et classer,-2.069638282387643,1.0184513518718714,-0.4302618953973339,-0.43513200428713183,0.10849668417151301,-0.3248815055393211
Gérer la comptabilité et les finances,-0.8958269839984514,2.532282402772721,1.5970243895842622,0.5723833153846637,-0.2599032668742695,-0.3423083646924873
Gérer les finances publiques,-0.9854761543319819,1.9262611203335924,1.9671586128863,-0.4081211068409683,0.014533964485369909,-0.245044429273022
Protéger les personnes et les biens,-2.716259810412678,-1.131380707765054,0.9431896796477889,-0.7356889645320754,-0.2614914382196685,-0.37426190827964384
Juger,0.6684300646196064,0.2988167268081937,-0.8058000915709435,-0.7419450970286564,-0.5676620101830053,-0.3577765902072427
Faire respecter les lois,-2.737215920697362,0.07108085804163648,0.5543411855056537,0.6019914337825253,-0.5327856150682256,-0.34578401804915404
Participer à des procès,-0.17579996451230048,0.2734224709620376,0.8777351456215816,0.22087000727875108,-0.7038061605900015,0.8113524400364989
Enquêter,0.10423210651551118,-0.9890026193693556,-1.061775037372675,0.2967115395502209,-0.2818020723577246,0.173484292120262
Rédiger des contrats,-1.3437286661397234,1.4850043594581648,0.189285364235145,-0.9221362184905445,-1.1796871062392595,-0.5390423946653374
Négocier des contrats,0.18443494466980298,1.344095565800519,0.8523221168509202,1.0240483219368834,-0.18508766061173276,-1.0450918098656106
Respecter un cadre juridique,-1.478900456304498,1.0180235338795225,1.5064533362427242,-0.013225672610857837,-0.956006449364636,-0.26460885654604405
Assurer un transport,-1.9575572347270103,0.3986807904288135,0.5837019197741801,0.4300613138762023,0.4932389902660755,-0.1476532688372638
Travailler sur des voitures,-0.9071278086343426,-0.8228734130611809,-1.6352445009986463,0.18136515872594472,0.052688962413159145,-0.142411132648268
"Réparer, nettoyer, entretenir",-0.9258342464985265,-0.9122890444779227,-2.0128930253029975,0.08879449973350731,0.08400985000515837,-0.3039175004843037
Poser du parquet ou du carrelage,-0.9935854410827689,-1.1478286594750797,-1.7839556762553848,0.3408039167883509,0.028774440594461156,-0.29297220573037236
Poser des murs ou des toits,-1.749460678383133,-1.090058285423723,-0.4588081553122987,1.0715922587278524,-0.13581324438265688,0.7386265880246249
"Poser, réparer de la plomberie",-1.7762542634376246,-0.4870622034667429,-1.7718289168091996,0.11769054281960818,-0.46032414315761777,0.6619385223914324
"Livrer, transporter, conduire, manoeuvrer",-2.368934783356322,0.00028750354121865663,-1.7535338371636267,-0.26953502165347276,-0.5359809475790249,-0.3786958833687827
"Porter ou manipuler des objets, des charges",-0.9635623978060172,-1.69001675696392,-0.6625954670850744,1.1251341920814528,0.0023858877266857694,-0.21375973083445507
Faire un travail physique,0.020406535664823346,-1.4518903908166487,0.05831695492878832,0.7600596839910402,-1.4354507263711394,-0.4029536436507046
Réparer et installer du matériel,-1.6204744511347802,-0.17638690690335113,-1.9057530710838033,-0.14693162422599523,-0.2611992867676804,0.6423116321375181
Se rendre sur des chantiers,-0.7516864494072374,-1.385507917725328,-0.47992184678120614,0.9818571129613669,0.22324200764247457,-0.17348621076868923
Manipuler des matières premières,-1.5582798410974343,-0.9191226133072256,-0.35663296150093926,0.9794429019413502,0.06388123398791302,0.7011204321614218
"Extraire, exploiter des ressources",-1.1218898037737801,-1.2031041542966832,-0.33614733298832733,0.9701129317923788,-0.3003497251883358,0.28943093497692723
"Conditionner, manutentionner des produits",-1.7959756042705946,-0.6043668082428693,-1.1424222981934802,0.484947691921193,-0.27551379545416677,0.8064093204839079
Réparer des appareils électroménagers,-2.138876243186347,-0.24090411363594094,-1.5112011361432338,-0.0060495430463228675,-0.38426317601022025,-0.1873097991111666
Monter des meubles,-1.847975857956919,-0.6888513743474899,-0.03594959702041488,0.8577528414100183,-0.3722751986316412,0.28149929388406786
Maîtriser un savoir faire technique,0.1420399022489116,0.6446919450265236,-0.6727084596404311,-0.9525107331431353,-0.6575688009052147,-1.0633950929859366
Utiliser une machine sur une chaîne de production,-2.6005734857459517,0.487410946833785,-1.1847549644595163,-0.3297807685799761,-0.5911871676569962,-0.18343449165677495
Assembler des pièces électroniques,-2.096588248761531,0.32837500492592414,-1.5163441737792296,-0.3778846559245838,-0.451445284615773,0.07789737532618576
Assurer la maintenance technique,-2.5381095945644168,0.3203530440240699,-1.3444866977373042,-0.30318037018987865,-0.58968629097339,-0.29767779574394887
"Cultiver, récolter",-0.999179729137078,-1.2645824511620525,-1.750172296935804,0.4008335376743916,-0.15398312048129792,-0.317476821347697
Cuisiner,-0.23790921673805918,-1.1856530460460648,-0.15349649142324695,0.3022078249064594,1.4606463881848182,-0.35207878144933846
Travailler dans l'art ou dans la musique,3.1055054935545185,-1.3733125328059659,0.19509846227932448,0.3343675167472791,-0.2534071551140752,-0.3765917485877576
"Faire des tâches minutieuses, de précision",-0.76733391391923,0.3046989946717954,-1.5346756680525888,-0.43608670315566966,0.534614492495133,0.313372641425337
"Utiliser des machines, des outils, des logiciels",-0.10728807722606482,-0.004710468333826463,-1.235522854791763,-0.33911003623660674,0.47570259982083185,-0.21165730230825378
"Repérer les erreurs, observer, contrôler",-1.786671011744303,1.020090942061853,-0.4800441678550552,-0.5378931459478434,-0.060586063366562255,-0.3180471282650323
Maîtriser une documentation technique,-0.036696385429174166,0.8210285008535764,-0.6294670189161842,-0.8237857905381007,-0.969544767075447,0.5163015684528351
Contrôler la qualité,-1.9013286812653543,0.9716507828350058,-0.6053671660686687,-0.783827885192235,-0.027905047272730153,-0.12247736607223238
Gérer les stocks et les approvisionnements,-1.6807445293205054,0.8115980067605951,-0.46103321812630577,-0.3247507297719746,0.10341786553052204,0.04149599542150746
Travailler de mes mains,-0.6789809012235656,-1.3388531476743122,-0.42350459090958864,0.9474609969267466,0.17787287644767197,-0.1781692779488267
"Construire, fabriquer",-0.7963804547279557,-1.8039169535303987,-0.8498715910255569,1.1970512152360422,0.2390922711341063,0.1425028733960092
Entretenir des jardins et des espaces verts,-1.1512973984835944,-1.1618410898460052,-1.5829276546030417,0.42609055706491816,0.015378548684241461,-0.4641242511191761
Aménager un espace,1.2823926682107087,-0.3944758598731847,-0.40389334530688864,-0.24675139467383478,-0.12070589655876833,-0.858131021146162
Dessiner,2.098264261182083,0.7969582537697631,-0.993006661313881,-1.3639619699268377,0.8506985778612258,-1.3451241930607434
Ecrire des chansons,2.894344978066042,0.40528389264437437,-1.1643474284699271,-1.1021982606108183,1.0404738961803346,-0.18849282096374087
"Composer, mettre en scène",2.2486526139307434,-1.6143648449505492,-0.2238571314395639,0.6132133063605616,0.07605547471632218,-0.1290565012702574
"Créer une oeuvre, designer",2.481777160448674,-0.8902936946645058,-1.4319816895068438,-0.386559672954018,0.05000511651138259,-0.1894307779276363
"Faire des illustrations, du graphisme",2.6642293885410298,0.2780382878031703,-1.0747399868200065,-0.929251272767179,0.7953089856654608,0.10636350878206284
Ecrire des scénarios de films ou séries,2.6477161220557,0.27637111198791264,-0.521708352965291,-0.7092491109604191,1.0525887704110781,-0.07152474686364742
"Distraire, animer, divertir",2.1892920800977165,-1.3470064421922356,0.11275103157019034,0.4684209577105415,-0.4370199612896402,-0.19748693243439752
"Chanter, jouer d'un instrument",-0.028565993310393542,-0.7061169428252505,0.10453514903046812,0.5847605676480636,0.22315023343387824,-0.15116468647217718
Exercer une activité artistique ou créative,2.0466452217642397,-1.1226838489034574,-1.6253817470317737,-0.11228552888567243,0.7201606649159521,-0.2706396800796783
Travailler dans le spectacle ou pour la télévision,0.6389416477319708,-0.3058723055385302,0.6194563524054593,0.27614429250008155,-0.2522273881018439,-0.20314658922446724
"Réaliser une performance, une représentation artistique",1.5207322355455841,-2.0771274193505582,-0.6648495066771282,0.9196567258616292,0.16230742073624552,-0.20639655270104268
Diriger une pièce de théâtre,0.40699098070679035,-0.7356290875178247,0.40902907835170743,0.4576125643091911,-0.6959361399528297,-0.27807423463430625
Se déplacer pour faire des reportages,-0.6967499494376049,-1.4158023451106396,-0.4443956602529885,0.9726055356648953,0.05165626875170744,-0.1979939288011912
Avoir des sensations fortes,0.6753106952267213,0.43991083435576245,-1.1383599284987707,-0.9794992879186951,-0.641263422001943,-0.3938569237698902
Jouer un rôle dans une série ou un film,0.9023364211416106,-1.1506585960284337,0.06279168983756381,0.6204848373126081,-0.752823391133345,0.4284245364287714
Ecrire des livres,2.989868280043594,0.06191427067838052,-1.4404667490879877,-1.058547998888854,0.9032212597179065,-0.5092959730507646
Traduire,-0.8507758135936454,1.622972059947633,-0.09385129600733828,-0.6209332114849894,1.6593899817333142,0.29819782381841314
Développer les relations internationales,1.1255000959789128,-0.1528356032264963,0.9797609053504156,0.08660932689763738,-0.8892999626398906,-0.28541165932121143
Pratiquer plusieurs langues,0.6389416477319708,-0.3058723055385302,0.6194563524054593,0.27614429250008155,-0.2522273881018439,-0.20314658922446724
Se déplacer en tournées,-0.532774637416903,-1.8051018935853969,1.2920315634880064,1.9613246698136955,0.5899098895000418,0.007377415984971863
Organiser des sorties pédagogiques avec des personnes handicapées,-0.8595958339053094,-2.308210186773911,0.34484240132115795,-0.8829691918531511,0.5928785723391398,0.11968539477114444
Apprendre à des personnes handicapées à travailler en autonomie,-0.8441324561036306,-2.279559734641958,0.3588708862580748,-0.8950670766404252,0.6224591557958722,0.1246805711318004
Favoriser l'insertion professionnelle et sociale des personnes,0.2242826818672677,-1.4613975782623396,1.1522440814041552,-1.3276827864494507,0.12894394390404035,0.0703091237360873
Enseigner et éduquer,0.011327693142239234,-0.8162905360692926,0.5849161740941375,-1.2750571183763852,-0.3313623552118615,-0.829256246731701
Enseigner dans une école primaire,0.1113215213528897,-1.1210114581001371,1.252218965740476,-1.1541294489516696,-0.05356011421602959,-0.3120090082630943
Enseigner à une classe de lycée,0.1585380970129715,-1.2906841779646192,1.128045185952434,-1.007860903155384,-0.13143535158399522,-0.6261609776559461
"Aider, conseiller les autres",0.9444309262472932,-0.08393014980510323,0.6022925815222009,0.1780979378462529,0.7009676467647986,-0.41768196001713126
M'occuper de la santé des autres,-1.552012514005369,-1.8325979648147117,0.5010955798528892,-0.7202826411339601,-0.19879496903498586,0.9511551313262178
Travailler pour des associations,-0.44912218036332274,-1.864956473345713,0.45762597478944567,-0.6429784805468374,0.24322120102384043,0.024952202758506185
Réaliser un accompagnement psychologique,-0.6582006909209518,-0.4114802297854377,-0.15689052917835175,-1.9243364969704237,-0.2603975272417752,0.8563390064250302
Apprendre la lecture à des enfants,-0.9631694163059934,-0.37022181259695436,1.8562939360663442,-1.5759125340939115,-0.2781597791569479,0.0864057697647573
S'occuper des enfants dans une garderie,-2.079164335189104,-1.5383631106755973,0.7003805661139373,-0.8005765665763178,-0.10339079362823991,0.4984365105968418
Être avec des enfants ou adolescents,-1.44202253473079,-1.3361939505634484,0.48379589474775586,-0.4649122033522407,-0.011358960823745082,1.0090755962520253
Travailler en magasin,-0.8971792200852982,-0.06487944239778212,0.2286607946396047,0.5515642650614507,0.4431752048556757,0.8164204341432079
Travailler au domicile d'un particulier,-0.4726954600547795,-0.9019571325801427,-0.865175247276384,-1.5440124776575985,0.8306982407246613,0.005310029032058445
Aider les personnes ayant des problèmes familiaux,0.11639066937435631,-1.3623351782406476,-0.12286882835049924,-2.1384377938942722,-0.6167458317611236,-0.12437553432913422
Aider les personnes ayant des problèmes d'addiction,-0.0701528114753759,-1.7262969049023076,-0.24370209946095378,-1.959326863462693,-0.9611983458392068,-0.1791633172909129
Prendre soin des animaux,-0.5285180517905307,-1.7251515742587145,0.6168840299214863,-1.0808919493344888,1.1103625175326408,0.20294045680980613
Protéger l'environnement,-1.0273929700732025,-0.7824670111443291,0.10696842515913842,0.6820501872213108,0.06292864232240614,-0.9763603745635427
Être dans la nature,-0.21969090799792634,-0.575937074324472,-0.01637521161505167,0.610617761210277,0.8720183316711793,-0.05797293611256583
Etudier le comportement animal,2.2118493791025378,-0.6868166093811239,1.4334152671842384,-0.9811368106036465,-0.9037963589950637,0.7118213338083856
Cartographier,-0.14113688456617843,0.11472647443738608,1.0256291806785265,0.11587126510403237,-0.33823650380682396,-1.2202178563324486
Etudier des solutions pour réduire la pollution,1.418761504639569,-0.060549097147893846,0.6108579773801325,0.16141502679803882,0.33551468850111177,0.5405981141224708
Faire de la recherche scientifique,3.0588210150189767,0.2174687469060286,1.3111832341838734,-0.2591784716945174,-0.9695003752611134,0.9168687324891579
Examiner au microscope,-0.0890465984529498,0.8999607547767292,-0.7072655289668693,-0.895343368854772,-1.0206789933800682,0.573626170338048
"Gérer une architechture logicielle, un système technique",-0.3524181921908278,1.5335964156270399,1.6983823194471694,-0.3191654286138879,0.2169738973188761,-0.18113972076528873
Rechercher et analyser des informations,0.8755839688665465,-0.07309275123487728,-0.3579772863016816,-0.350024284290426,-0.3435625143736887,-0.5014713895158318
"Travailler avec les nombres, manipuler des données",0.9652522183232182,1.4563158572489256,0.7487780729552508,-0.8367058241935847,-0.19505073537427559,0.497488121748915
Etudier la génétique,0.40427098822772684,1.2089181916817342,1.337485047262344,-0.18677312314047534,0.3320389284381101,0.9135551676814029
Etudier la structure du corps humain,0.40427098822772684,1.2089181916817342,1.337485047262344,-0.18677312314047534,0.3320389284381101,0.9135551676814029
Développer des nouveaux traitements médicaux,0.7850972289831925,-0.3904058936341747,1.3641832282709205,-1.1344453390085556,0.6415859769845524,0.09390598655978769
Etudier le mouvement des planètes,0.4740504735123572,1.1989489920469825,1.3342949459848525,-0.1951860555796606,0.391724763394053,0.8509170754246608
"Faire des expériences, des tests",0.5003099656928264,0.8585368650848635,1.3673619138798798,-0.12699635402816986,-0.5909486947788172,0.7755628846661474
Développer des programmes informatiques,1.5896236765054326,0.7183394968121909,1.324929586547222,-0.2634457492291787,0.34897203876666333,-0.19282995713302276
Résoudre des énigmes et des problèmes,2.076940428415449,-0.43759002626372434,-0.5834874299042919,-0.416938325974278,-0.587275811196237,-0.2153530183827637
Elaborer une feuille de calcul à l'aide d'un logiciel,-0.17664961063328005,1.7246658427468833,-0.7054861306245613,-1.073543854841708,0.9882517960870537,0.8407699838631396
Modéliser / Prototyper,1.3515813998373467,0.18661610524131125,-0.672537681904096,-0.7382058434289537,0.07526775929166675,-0.929882702007028
Utiliser les nouvelles technologies,2.0252202567783213,0.06285982157010059,-0.3121960746327644,1.433416238808856,0.7050033658855487,0.5181949919130266
Assurer une veille technologique,2.242362977439262,1.5033562305719739,-1.1329215455002122,0.7140686001929699,0.08476472349141405,1.3522696644884324
